,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden,params_leave_layers,params_lr,params_weight_decay,state
424,424,,2023-02-09 03:33:42.807497,,,64,1120,50,0.00375,0.0,RUNNING
425,425,0.8488,2023-02-09 03:35:24.212359,2023-02-09 03:39:18.419419,0 days 00:03:54.207060,64,1300,49,0.00375,0.0,PRUNED
426,426,0.8487,2023-02-09 03:39:18.444014,2023-02-09 03:42:54.083571,0 days 00:03:35.639557,64,1080,52,0.00375,0.0,PRUNED
427,427,0.7265,2023-02-09 03:42:54.126383,2023-02-09 03:43:53.780222,0 days 00:00:59.653839,256,2480,50,0.00375,0.0,PRUNED
428,428,0.8602,2023-02-09 03:43:53.819321,2023-02-09 03:46:11.701024,0 days 00:02:17.881703,64,1200,54,0.00375,4e-06,PRUNED
429,429,0.8524,2023-02-09 03:46:11.741449,2023-02-09 03:48:38.349436,0 days 00:02:26.607987,64,1240,59,0.00375,0.0,PRUNED
430,430,0.8719,2023-02-09 03:47:15.865241,2023-02-09 03:51:37.505969,0 days 00:04:21.640728,64,1000,48,0.00375,0.0,PRUNED
431,431,0.9083,2023-02-09 03:48:38.383297,2023-02-09 04:15:40.678829,0 days 00:27:02.295532,64,2240,48,0.00375,0.0,COMPLETE
432,432,0.8323,2023-02-09 03:51:37.556464,2023-02-09 03:53:08.149987,0 days 00:01:30.593523,64,2300,4,0.00375,0.0,PRUNED
433,433,0.8564,2023-02-09 03:53:08.182691,2023-02-09 03:54:48.367353,0 days 00:01:40.184662,64,2140,51,0.00375,0.0,PRUNED
434,434,0.8829,2023-02-09 03:54:48.416672,2023-02-09 03:57:05.439588,0 days 00:02:17.022916,128,2040,56,0.00375,4e-08,PRUNED
435,435,0.9103,2023-02-09 03:57:05.484842,2023-02-09 04:21:43.908363,0 days 00:24:38.423521,64,2220,48,0.00375,0.0,COMPLETE
436,436,0.9064,2023-02-09 04:03:21.040638,2023-02-09 04:27:45.478199,0 days 00:24:24.437561,64,2780,47,0.00375,0.0,COMPLETE
437,437,0.8337,2023-02-09 04:15:40.714889,2023-02-09 04:17:24.820661,0 days 00:01:44.105772,64,1100,52,0.00375,0.0,PRUNED
438,438,0.907,2023-02-09 04:17:24.861028,2023-02-09 04:43:05.345596,0 days 00:25:40.484568,64,1140,47,0.00375,0.0,COMPLETE
439,439,0.7763,2023-02-09 04:21:43.937171,2023-02-09 04:22:26.669144,0 days 00:00:42.731973,512,2200,47,0.00375,0.0,PRUNED
440,440,0.8538,2023-02-09 04:22:26.710717,2023-02-09 04:24:04.920137,0 days 00:01:38.209420,64,2220,47,0.00375,0.0,PRUNED
441,441,0.8843,2023-02-09 04:24:04.957615,2023-02-09 04:27:23.346225,0 days 00:03:18.388610,64,2160,49,0.00375,0.0,PRUNED
442,442,0.8715,2023-02-09 04:27:23.383665,2023-02-09 04:30:40.090649,0 days 00:03:16.706984,64,2120,45,0.00375,0.0,PRUNED
443,443,0.8677,2023-02-09 04:27:45.517977,2023-02-09 04:29:20.436194,0 days 00:01:34.918217,64,2240,44,0.00375,0.0,PRUNED
444,444,0.5603,2023-02-09 04:29:20.473005,2023-02-09 04:30:58.719469,0 days 00:01:38.246464,64,2120,52,0.115,0.0,PRUNED
445,445,0.7963,2023-02-09 04:30:40.128932,2023-02-09 04:32:19.460389,0 days 00:01:39.331457,64,2180,51,0.0125,0.0,PRUNED
446,446,0.9042,2023-02-09 04:30:58.754059,2023-02-09 04:53:33.933174,0 days 00:22:35.179115,64,2200,49,0.00375,4e-07,COMPLETE
447,447,0.8242,2023-02-09 04:32:19.497551,2023-02-09 04:33:58.708700,0 days 00:01:39.211149,64,2280,49,0.00375,0.0,PRUNED
448,448,0.8025,2023-02-09 04:33:58.750266,2023-02-09 04:37:24.067551,0 days 00:03:25.317285,64,1400,55,0.00375,4e-07,PRUNED
449,449,0.8805,2023-02-09 04:37:24.106841,2023-02-09 04:40:41.298215,0 days 00:03:17.191374,64,2080,47,0.00375,0.0,PRUNED
450,450,0.8723,2023-02-09 04:40:41.343366,2023-02-09 04:43:50.145844,0 days 00:03:08.802478,64,1800,39,0.00375,0.0,PRUNED
451,451,0.8081,2023-02-09 04:43:05.378797,2023-02-09 04:44:49.773779,0 days 00:01:44.394982,64,2160,53,0.00375,0.0,PRUNED
452,452,0.854,2023-02-09 04:43:50.182896,2023-02-09 04:45:30.725258,0 days 00:01:40.542362,64,2200,53,0.00375,0.0,PRUNED
453,453,0.8785,2023-02-09 04:44:49.807377,2023-02-09 04:48:07.994935,0 days 00:03:18.187558,64,1220,49,0.00375,0.0,PRUNED
454,454,0.5328,2023-02-09 04:45:30.758716,2023-02-09 04:46:23.241360,0 days 00:00:52.482644,256,2080,49,0.00375,0.0,PRUNED
455,455,0.842,2023-02-09 04:46:23.271363,2023-02-09 04:50:27.520899,0 days 00:04:04.249536,16,1240,43,0.00375,0.0,PRUNED
456,456,0.8305,2023-02-09 04:48:08.036846,2023-02-09 04:52:27.542455,0 days 00:04:19.505609,16,2280,44,0.00375,4e-08,PRUNED
457,457,0.8521,2023-02-09 04:50:27.560594,2023-02-09 04:51:51.799750,0 days 00:01:24.239156,64,2960,57,0.00375,4e-08,PRUNED
458,458,0.8684,2023-02-09 04:51:51.844977,2023-02-09 04:55:14.963262,0 days 00:03:23.118285,64,1660,45,0.00375,0.0,PRUNED
459,459,0.8674,2023-02-09 04:52:27.590173,2023-02-09 04:54:10.193133,0 days 00:01:42.602960,64,1300,51,0.00375,0.0,PRUNED
460,460,0.904,2023-02-09 04:53:33.962860,2023-02-09 05:18:26.786268,0 days 00:24:52.823408,64,1340,51,0.00375,0.0,COMPLETE
461,461,0.5404,2023-02-09 04:54:10.233852,2023-02-09 04:55:16.567937,0 days 00:01:06.334085,128,1040,45,0.075,0.0,PRUNED
462,462,0.9076,2023-02-09 04:55:15.012416,2023-02-09 05:20:18.677517,0 days 00:25:03.665101,64,1920,47,0.00375,0.0,COMPLETE
463,463,0.8434,2023-02-09 04:55:16.620383,2023-02-09 04:57:02.241935,0 days 00:01:45.621552,64,1360,51,0.00375,0.0,PRUNED
464,464,0.8481,2023-02-09 04:57:02.300683,2023-02-09 04:58:43.844146,0 days 00:01:41.543463,64,2000,47,0.00375,0.0,PRUNED
465,465,0.8638,2023-02-09 04:58:43.885366,2023-02-09 05:00:23.167344,0 days 00:01:39.281978,64,1160,41,0.00375,0.0,PRUNED
466,466,0.7506,2023-02-09 05:00:23.208748,2023-02-09 05:02:08.365158,0 days 00:01:45.156410,64,1200,55,0.0125,0.0,PRUNED
467,467,0.7898,2023-02-09 05:02:08.404105,2023-02-09 05:02:52.136677,0 days 00:00:43.732572,512,1260,52,0.00375,0.0,PRUNED
468,468,0.4788,2023-02-09 05:02:52.190645,2023-02-09 05:04:33.000484,0 days 00:01:40.809839,64,1920,47,0.115,0.0,PRUNED
469,469,0.8838,2023-02-09 05:04:33.035802,2023-02-09 05:07:59.938379,0 days 00:03:26.902577,64,2640,49,0.00375,4e-08,PRUNED
470,470,0.8268,2023-02-09 05:07:59.978624,2023-02-09 05:09:45.780140,0 days 00:01:45.801516,64,1760,59,0.00375,0.0,PRUNED
471,471,0.861,2023-02-09 05:09:45.815558,2023-02-09 05:11:29.802508,0 days 00:01:43.986950,64,2040,54,0.00375,0.0,PRUNED
472,472,0.8794,2023-02-09 05:11:29.836156,2023-02-09 05:14:53.258022,0 days 00:03:23.421866,64,2140,50,0.00375,0.0,PRUNED
473,473,0.5655,2023-02-09 05:14:53.294202,2023-02-09 05:16:32.914419,0 days 00:01:39.620217,64,2580,42,0.15,0.0,PRUNED
474,474,0.9039,2023-02-09 05:16:32.941908,2023-02-09 05:41:45.740923,0 days 00:25:12.799015,64,1100,46,0.00375,0.0,COMPLETE
475,475,0.905,2023-02-09 05:18:26.816020,2023-02-09 05:42:37.667188,0 days 00:24:10.851168,64,2100,46,0.00375,4e-08,COMPLETE
476,476,0.9066,2023-02-09 05:20:18.718125,2023-02-09 05:44:54.730019,0 days 00:24:36.011894,64,1200,45,0.00375,4e-08,COMPLETE
477,477,0.8744,2023-02-09 05:41:45.785629,2023-02-09 05:45:14.138288,0 days 00:03:28.352659,64,1720,53,0.00375,4e-08,PRUNED
478,478,0.8678,2023-02-09 05:42:37.707085,2023-02-09 05:44:16.278731,0 days 00:01:38.571646,64,1720,53,0.00375,0.0,PRUNED
479,479,0.849,2023-02-09 05:44:16.315251,2023-02-09 05:46:16.511672,0 days 00:02:00.196421,64,1280,56,0.00375,0.0,PRUNED
480,480,0.8663,2023-02-09 05:44:54.771058,2023-02-09 05:46:55.209341,0 days 00:02:00.438283,64,1280,49,0.00375,0.0,PRUNED
481,481,0.7752,2023-02-09 05:45:14.176788,2023-02-09 05:46:04.125868,0 days 00:00:49.949080,256,1280,49,0.00375,0.0,PRUNED
482,482,0.847,2023-02-09 05:46:04.155616,2023-02-09 05:47:53.009709,0 days 00:01:48.854093,64,2240,56,0.00375,0.0,PRUNED
483,483,0.8665,2023-02-09 05:46:16.550986,2023-02-09 05:47:52.588577,0 days 00:01:36.037591,64,1160,48,0.00375,0.0,PRUNED
484,484,0.8566,2023-02-09 05:46:55.256029,2023-02-09 05:48:21.619160,0 days 00:01:26.363131,64,1600,43,0.00375,0.0,PRUNED
485,485,,2023-02-09 05:47:52.634302,,,64,2240,43,0.075,0.0,RUNNING
486,486,0.7269,2023-02-09 05:47:53.042765,2023-02-09 05:49:14.627379,0 days 00:01:21.584614,64,2060,43,0.075,0.0,PRUNED
487,487,0.112,2023-02-09 05:48:21.654597,2023-02-09 05:49:17.292576,0 days 00:00:55.637979,128,1460,76,0.075,0.0,PRUNED
488,488,0.8806,2023-02-09 05:49:14.668952,2023-02-09 05:51:36.618536,0 days 00:02:21.949584,64,1220,51,0.00375,0.0,PRUNED
489,489,0.8716,2023-02-09 05:49:17.340261,2023-02-09 05:51:29.185130,0 days 00:02:11.844869,64,1220,50,0.00375,0.0,PRUNED
490,490,0.8563,2023-02-09 05:51:29.228494,2023-02-09 05:52:37.458785,0 days 00:01:08.230291,64,2160,52,0.00375,0.0,PRUNED
491,491,0.8533,2023-02-09 05:51:36.655541,2023-02-09 05:52:56.823795,0 days 00:01:20.168254,64,2400,52,0.00375,0.0,PRUNED
492,492,0.8395,2023-02-09 05:52:37.488379,2023-02-09 05:53:18.085756,0 days 00:00:40.597377,512,2380,48,0.00375,0.0,PRUNED
493,493,0.909,2023-02-09 05:52:56.865242,2023-02-09 06:10:24.578488,0 days 00:17:27.713246,64,1120,48,0.00375,0.0,COMPLETE
494,494,0.7376,2023-02-09 05:53:18.129657,2023-02-09 05:54:40.478252,0 days 00:01:22.348595,64,1140,85,0.0125,4e-07,PRUNED
495,495,0.8755,2023-02-09 05:54:40.504351,2023-02-09 05:56:53.109330,0 days 00:02:12.604979,64,1080,46,0.00375,0.0,PRUNED
496,496,0.8683,2023-02-09 05:56:53.138121,2023-02-09 05:58:01.143821,0 days 00:01:08.005700,64,1180,48,0.00375,4e-08,PRUNED
497,497,0.6186,2023-02-09 05:58:01.190836,2023-02-09 05:59:09.549925,0 days 00:01:08.359089,64,2140,54,0.115,0.0,PRUNED
498,498,0.8504,2023-02-09 05:59:09.588747,2023-02-09 06:00:15.132471,0 days 00:01:05.543724,64,1980,40,0.00375,0.0,PRUNED
499,499,0.5488,2023-02-09 06:00:15.159677,2023-02-09 06:01:23.295882,0 days 00:01:08.136205,64,2100,50,0.15,0.0,PRUNED
500,500,0.9081,2023-02-09 06:01:23.322730,2023-02-09 06:17:45.148256,0 days 00:16:21.825526,64,1120,45,0.00375,0.0,COMPLETE
501,501,0.8702,2023-02-09 06:10:24.605585,2023-02-09 06:12:41.394594,0 days 00:02:16.789009,64,1240,45,0.00375,0.0,PRUNED
502,502,0.8608,2023-02-09 06:12:41.423601,2023-02-09 06:13:52.400365,0 days 00:01:10.976764,64,2200,51,0.00375,0.0,PRUNED
503,503,0.908,2023-02-09 06:13:52.432896,2023-02-09 06:31:38.152986,0 days 00:17:45.720090,64,1880,57,0.00375,4e-08,COMPLETE
504,504,0.8793,2023-02-09 06:17:45.180673,2023-02-09 06:20:01.539642,0 days 00:02:16.358969,64,2260,54,0.00375,0.0,PRUNED
505,505,0.8447,2023-02-09 06:20:01.574418,2023-02-09 06:20:53.362738,0 days 00:00:51.788320,64,1320,15,0.00375,4e-08,PRUNED
506,506,0.8413,2023-02-09 06:20:53.396479,2023-02-09 06:23:34.564414,0 days 00:02:41.167935,16,1880,47,0.00375,0.0,PRUNED
507,507,0.4439,2023-02-09 06:23:34.596357,2023-02-09 06:24:17.766702,0 days 00:00:43.170345,256,2520,57,0.00375,0.0,PRUNED
508,508,0.8441,2023-02-09 06:24:17.802373,2023-02-09 06:25:25.312545,0 days 00:01:07.510172,64,1240,50,0.00375,0.0,PRUNED
509,509,0.869,2023-02-09 06:25:25.346016,2023-02-09 06:26:33.343340,0 days 00:01:07.997324,64,1180,52,0.00375,4e-08,PRUNED
510,510,0.8701,2023-02-09 06:26:33.377047,2023-02-09 06:28:42.980165,0 days 00:02:09.603118,64,1040,43,0.00375,0.0,PRUNED
511,511,0.8581,2023-02-09 06:28:43.013451,2023-02-09 06:29:50.023409,0 days 00:01:07.009958,64,2060,47,0.00375,0.0,PRUNED
512,512,0.885,2023-02-09 06:29:50.068571,2023-02-09 06:32:02.696285,0 days 00:02:12.627714,64,2120,49,0.00375,0.0,PRUNED
513,513,0.8681,2023-02-09 06:31:38.185022,2023-02-09 06:32:47.557993,0 days 00:01:09.372971,64,2120,49,0.00375,0.0,PRUNED
514,514,0.866,2023-02-09 06:32:02.728460,2023-02-09 06:33:16.916787,0 days 00:01:14.188327,64,1160,51,0.00375,4e-05,PRUNED
515,515,0.83,2023-02-09 06:32:47.583384,2023-02-09 06:33:38.631931,0 days 00:00:51.048547,128,1160,44,0.00375,4e-05,PRUNED
516,516,0.8458,2023-02-09 06:33:16.948969,2023-02-09 06:34:30.213600,0 days 00:01:13.264631,64,1820,54,0.00375,0.0,PRUNED
517,517,0.8563,2023-02-09 06:33:38.668898,2023-02-09 06:34:45.803329,0 days 00:01:07.134431,64,1800,54,0.00375,0.0,PRUNED
518,518,0.749,2023-02-09 06:34:30.256321,2023-02-09 06:41:32.691160,0 days 00:07:02.434839,4,2700,46,0.00375,0.0,PRUNED
519,519,0.5844,2023-02-09 06:34:45.841247,2023-02-09 06:35:36.806147,0 days 00:00:50.964900,64,2320,47,0.115,0.0,PRUNED
520,520,0.8332,2023-02-09 06:35:36.844696,2023-02-09 06:43:19.408381,0 days 00:07:42.563685,4,1240,45,0.00375,0.0,PRUNED
521,521,0.413,2023-02-09 06:41:32.726430,2023-02-09 06:42:08.443652,0 days 00:00:35.717222,512,2020,42,0.0125,4e-07,PRUNED
522,522,0.8601,2023-02-09 06:42:08.473331,2023-02-09 06:43:00.121367,0 days 00:00:51.648036,64,2180,52,0.00375,0.0,PRUNED
523,523,0.8117,2023-02-09 06:43:00.155228,2023-02-09 06:44:04.876553,0 days 00:01:04.721325,64,1200,60,0.00375,0.0,PRUNED
524,524,0.8429,2023-02-09 06:43:19.449953,2023-02-09 06:44:29.100930,0 days 00:01:09.650977,64,1200,50,0.00375,0.0,PRUNED
525,525,0.5463,2023-02-09 06:44:04.912248,2023-02-09 06:45:12.315966,0 days 00:01:07.403718,64,1300,49,0.15,4e-08,PRUNED
526,526,0.5727,2023-02-09 06:44:29.152676,2023-02-09 06:45:39.448892,0 days 00:01:10.296216,64,1260,48,0.15,4e-08,PRUNED
527,527,0.8646,2023-02-09 06:45:12.347209,2023-02-09 06:46:20.476950,0 days 00:01:08.129741,64,1260,52,0.00375,0.0,PRUNED
528,528,0.8672,2023-02-09 06:45:39.481114,2023-02-09 06:46:50.488272,0 days 00:01:11.007158,64,1420,51,0.00375,0.0,PRUNED
529,529,0.8656,2023-02-09 06:46:20.506720,2023-02-09 06:47:29.341057,0 days 00:01:08.834337,64,1420,55,0.00375,0.0,PRUNED
530,530,0.9044,2023-02-09 06:46:50.527129,2023-02-09 07:04:19.229542,0 days 00:17:28.702413,64,1080,55,0.00375,0.0,COMPLETE
531,531,0.8289,2023-02-09 06:47:29.384664,2023-02-09 06:48:36.594398,0 days 00:01:07.209734,64,2220,46,0.00375,0.0,PRUNED
532,532,0.8703,2023-02-09 06:48:36.636856,2023-02-09 06:50:46.450954,0 days 00:02:09.814098,64,2160,39,0.00375,0.0,PRUNED
533,533,0.8658,2023-02-09 06:50:46.480370,2023-02-09 06:51:52.853272,0 days 00:01:06.372902,64,1960,44,0.00375,0.0,PRUNED
534,534,0.8469,2023-02-09 06:51:52.880733,2023-02-09 06:54:35.323096,0 days 00:02:42.442363,16,2060,48,0.00375,0.0,PRUNED
535,535,0.8585,2023-02-09 06:54:35.361413,2023-02-09 06:55:43.066308,0 days 00:01:07.704895,64,1120,50,0.00375,0.0,PRUNED
536,536,0.7759,2023-02-09 06:55:43.093151,2023-02-09 06:56:22.959547,0 days 00:00:39.866396,256,2840,41,0.00375,0.0,PRUNED
537,537,0.6351,2023-02-09 06:56:22.985178,2023-02-09 06:57:30.892891,0 days 00:01:07.907713,64,1080,53,0.075,0.0,PRUNED
538,538,0.8603,2023-02-09 06:57:30.918810,2023-02-09 06:58:38.229521,0 days 00:01:07.310711,64,2280,47,0.00375,4e-08,PRUNED
539,539,0.8538,2023-02-09 06:58:38.261782,2023-02-09 06:59:46.445291,0 days 00:01:08.183509,64,1000,50,0.00375,0.0,PRUNED
540,540,0.8528,2023-02-09 06:59:46.471426,2023-02-09 07:00:53.236752,0 days 00:01:06.765326,64,1340,44,0.00375,0.0,PRUNED
541,541,0.8377,2023-02-09 07:00:53.270800,2023-02-09 07:02:01.201253,0 days 00:01:07.930453,64,1200,52,0.00375,0.0,PRUNED
542,542,0.8084,2023-02-09 07:02:01.235722,2023-02-09 07:02:50.914902,0 days 00:00:49.679180,128,2080,56,0.00375,0.0,PRUNED
543,543,0.8527,2023-02-09 07:02:50.950474,2023-02-09 07:03:57.422641,0 days 00:01:06.472167,64,2440,48,0.00375,0.0,PRUNED
544,544,0.8517,2023-02-09 07:03:57.451655,2023-02-09 07:05:04.089941,0 days 00:01:06.638286,64,1160,46,0.00375,4e-07,PRUNED
545,545,0.8465,2023-02-09 07:04:19.266102,2023-02-09 07:05:28.988893,0 days 00:01:09.722791,64,1160,46,0.00375,4e-07,PRUNED
546,546,0.6808,2023-02-09 07:05:04.120576,2023-02-09 07:06:12.223754,0 days 00:01:08.103178,64,1220,50,0.115,4e-08,PRUNED
547,547,0.6586,2023-02-09 07:05:29.015396,2023-02-09 07:07:01.777850,0 days 00:01:32.762454,64,2160,50,0.115,4e-08,PRUNED
548,548,0.2917,2023-02-09 07:06:12.256903,2023-02-09 07:06:50.154287,0 days 00:00:37.897384,512,2160,53,0.0125,0.0,PRUNED
549,549,0.8607,2023-02-09 07:06:50.186454,2023-02-09 07:07:59.842041,0 days 00:01:09.655587,64,1300,59,0.00375,0.0,PRUNED
550,550,0.8441,2023-02-09 07:07:01.809323,2023-02-09 07:08:27.741040,0 days 00:01:25.931717,64,2220,95,0.00375,0.0,PRUNED
551,551,0.8685,2023-02-09 07:07:59.866358,2023-02-09 07:09:05.901955,0 days 00:01:06.035597,64,2100,42,0.00375,0.0,PRUNED
552,552,0.8501,2023-02-09 07:08:27.770752,2023-02-09 07:09:35.314878,0 days 00:01:07.544126,64,1240,42,0.00375,0.0,PRUNED
553,553,0.9067,2023-02-09 07:09:05.929019,2023-02-09 07:24:54.797899,0 days 00:15:48.868880,64,1260,48,0.00375,0.0,COMPLETE
554,554,0.8445,2023-02-09 07:09:35.355839,2023-02-09 07:10:45.150168,0 days 00:01:09.794329,64,1120,48,0.00375,0.0,PRUNED
555,555,0.8488,2023-02-09 07:10:45.186470,2023-02-09 07:11:56.245594,0 days 00:01:11.059124,64,1200,52,0.00375,0.0,PRUNED
556,556,0.8575,2023-02-09 07:11:56.277890,2023-02-09 07:13:05.170913,0 days 00:01:08.893023,64,2480,45,0.00375,0.0,PRUNED
557,557,0.8558,2023-02-09 07:13:05.201097,2023-02-09 07:14:15.479574,0 days 00:01:10.278477,64,1260,48,0.00375,0.0,PRUNED
558,558,0.8511,2023-02-09 07:14:15.516545,2023-02-09 07:15:25.146821,0 days 00:01:09.630276,64,2000,51,0.00375,0.0,PRUNED
559,559,0.8497,2023-02-09 07:15:25.178307,2023-02-09 07:16:36.768703,0 days 00:01:11.590396,64,1040,54,0.00375,0.0,PRUNED
560,560,0.8809,2023-02-09 07:16:36.807923,2023-02-09 07:18:57.890863,0 days 00:02:21.082940,64,1840,49,0.00375,4e-08,PRUNED
561,561,0.5288,2023-02-09 07:18:57.931797,2023-02-09 07:19:40.323633,0 days 00:00:42.391836,256,2620,44,0.00375,0.0,PRUNED
562,562,0.88,2023-02-09 07:19:40.479019,2023-02-09 07:21:58.329948,0 days 00:02:17.850929,64,1360,47,0.00375,0.0,PRUNED
563,563,0.3824,2023-02-09 07:21:58.355916,2023-02-09 07:25:02.854789,0 days 00:03:04.498873,16,2360,51,0.075,4e-05,PRUNED
564,564,0.3555,2023-02-09 07:24:54.836189,2023-02-09 07:27:47.281770,0 days 00:02:52.445581,16,2120,51,0.075,4e-05,PRUNED
565,565,0.8689,2023-02-09 07:25:02.889355,2023-02-09 07:25:55.699427,0 days 00:00:52.810072,64,2020,53,0.00375,0.0,PRUNED
566,566,0.8821,2023-02-09 07:25:55.724689,2023-02-09 07:27:37.287414,0 days 00:01:41.562725,64,2120,46,0.00375,0.0,PRUNED
567,567,0.8688,2023-02-09 07:27:37.326974,2023-02-09 07:28:46.661809,0 days 00:01:09.334835,64,1180,56,0.00375,4e-08,PRUNED
568,568,0.8613,2023-02-09 07:27:47.320412,2023-02-09 07:28:58.048833,0 days 00:01:10.728421,64,2240,57,0.00375,4e-08,PRUNED
569,569,0.9117,2023-02-09 07:28:46.692367,2023-02-09 07:42:31.900442,0 days 00:13:45.208075,64,2240,44,0.00375,0.0,COMPLETE
570,570,0.7729,2023-02-09 07:28:58.074276,2023-02-09 07:38:17.127401,0 days 00:09:19.053125,4,1760,44,0.00375,0.0,PRUNED
571,571,0.856,2023-02-09 07:38:17.168604,2023-02-09 07:39:25.007014,0 days 00:01:07.838410,64,1320,49,0.00375,0.0,PRUNED
572,572,0.8459,2023-02-09 07:39:25.040658,2023-02-09 07:40:31.831295,0 days 00:01:06.790637,64,1140,47,0.00375,0.0,PRUNED
573,573,0.8591,2023-02-09 07:40:31.858026,2023-02-09 07:41:40.525580,0 days 00:01:08.667554,64,1220,54,0.00375,0.0,PRUNED
574,574,0.8188,2023-02-09 07:41:40.563543,2023-02-09 07:42:30.597986,0 days 00:00:50.034443,128,2300,49,0.0125,0.0,PRUNED
575,575,0.8831,2023-02-09 07:42:30.636201,2023-02-09 07:45:04.911842,0 days 00:02:34.275641,64,2200,45,0.00375,0.0,PRUNED
576,576,0.8594,2023-02-09 07:42:31.936065,2023-02-09 07:43:41.064098,0 days 00:01:09.128033,64,2240,41,0.00375,0.0,PRUNED
577,577,0.6859,2023-02-09 07:43:41.098471,2023-02-09 07:44:16.367692,0 days 00:00:35.269221,512,2240,37,0.00375,0.0,PRUNED
578,578,0.6604,2023-02-09 07:44:16.391780,2023-02-09 07:45:25.118810,0 days 00:01:08.727030,64,2200,43,0.15,0.0,PRUNED
579,579,0.8599,2023-02-09 07:45:04.949710,2023-02-09 07:46:08.678829,0 days 00:01:03.729119,64,2200,39,0.00375,0.0,PRUNED
580,580,0.877,2023-02-09 07:45:25.156043,2023-02-09 07:47:57.036421,0 days 00:02:31.880378,64,2280,68,0.00375,0.0,PRUNED
581,581,0.8828,2023-02-09 07:46:08.719660,2023-02-09 07:48:18.506201,0 days 00:02:09.786541,64,2100,42,0.00375,0.0,PRUNED
582,582,0.8638,2023-02-09 07:47:57.063540,2023-02-09 07:49:05.803257,0 days 00:01:08.739717,64,2080,43,0.00375,4e-08,PRUNED
583,583,0.8664,2023-02-09 07:48:18.541178,2023-02-09 07:49:27.145488,0 days 00:01:08.604310,64,2260,52,0.00375,4e-08,PRUNED
584,584,0.8597,2023-02-09 07:49:05.842588,2023-02-09 07:50:17.913580,0 days 00:01:12.070992,64,2160,52,0.00375,0.0,PRUNED
585,585,0.9121,2023-02-09 07:49:27.174200,2023-02-09 08:06:01.301581,0 days 00:16:34.127381,64,2320,46,0.00375,0.0,COMPLETE
586,586,0.8842,2023-02-09 07:50:17.940675,2023-02-09 07:52:36.232008,0 days 00:02:18.291333,64,2180,46,0.00375,0.0,PRUNED
587,587,0.873,2023-02-09 07:52:36.261765,2023-02-09 07:54:59.846301,0 days 00:02:23.584536,64,2320,50,0.00375,0.0,PRUNED
588,588,0.9087,2023-02-09 07:54:59.879096,2023-02-09 08:12:12.930548,0 days 00:17:13.051452,64,2040,45,0.00375,0.0,COMPLETE
589,589,0.8559,2023-02-09 08:06:01.344487,2023-02-09 08:07:07.394237,0 days 00:01:06.049750,64,2400,44,0.00375,0.0,PRUNED
590,590,0.9082,2023-02-09 08:07:07.428670,2023-02-09 08:23:54.967508,0 days 00:16:47.538838,64,2320,45,0.00375,0.0,COMPLETE
591,591,0.7258,2023-02-09 08:12:12.959126,2023-02-09 08:12:53.127573,0 days 00:00:40.168447,256,2200,40,0.00375,0.0,PRUNED
592,592,0.8943,2023-02-09 08:12:53.162187,2023-02-09 08:26:44.901479,0 days 00:13:51.739292,64,2360,46,0.00375,0.0,PRUNED
593,593,0.9109,2023-02-09 08:23:55.012641,2023-02-09 08:36:43.810857,0 days 00:12:48.798216,64,2360,47,0.00375,4e-07,COMPLETE
594,594,0.8654,2023-02-09 08:26:44.954180,2023-02-09 08:27:53.711568,0 days 00:01:08.757388,64,2280,42,0.00375,4e-07,PRUNED
595,595,0.8304,2023-02-09 08:27:53.745917,2023-02-09 08:29:03.767787,0 days 00:01:10.021870,64,2280,48,0.00375,0.0,PRUNED
596,596,0.799,2023-02-09 08:29:03.807321,2023-02-09 08:38:44.344143,0 days 00:09:40.536822,4,2240,47,0.00375,0.0,PRUNED
597,597,0.8659,2023-02-09 08:36:43.842163,2023-02-09 08:37:27.095958,0 days 00:00:43.253795,64,2380,43,0.00375,4e-07,PRUNED
598,598,0.1416,2023-02-09 08:37:27.127063,2023-02-09 08:46:42.087929,0 days 00:09:14.960866,4,2340,40,0.0125,4e-07,PRUNED
599,599,0.2471,2023-02-09 08:38:44.377518,2023-02-09 08:39:25.756709,0 days 00:00:41.379191,128,2340,45,0.115,4e-07,PRUNED
600,600,0.7578,2023-02-09 08:39:25.788488,2023-02-09 08:40:17.319577,0 days 00:00:51.531089,64,2360,49,0.0125,4e-07,PRUNED
601,601,0.863,2023-02-09 08:40:17.351698,2023-02-09 08:41:06.466875,0 days 00:00:49.115177,64,2300,41,0.00375,4e-07,PRUNED
602,602,0.7958,2023-02-09 08:41:06.496669,2023-02-09 08:41:59.113643,0 days 00:00:52.616974,64,2380,54,0.00375,4e-07,PRUNED
603,603,0.6899,2023-02-09 08:41:59.148010,2023-02-09 08:42:51.150180,0 days 00:00:52.002170,64,2320,47,0.15,4e-08,PRUNED
604,604,0.8464,2023-02-09 08:42:51.176660,2023-02-09 08:43:45.411444,0 days 00:00:54.234784,64,2400,58,0.00375,4e-07,PRUNED
605,605,0.8031,2023-02-09 08:43:45.446376,2023-02-09 08:44:22.428429,0 days 00:00:36.982053,512,2460,50,0.00375,4e-07,PRUNED
606,606,0.8684,2023-02-09 08:44:22.459814,2023-02-09 08:45:13.524471,0 days 00:00:51.064657,64,2320,44,0.00375,4e-07,PRUNED
